[2026-06-08 15:02:38.023] 信息 | SettingConfig.Load: Loading mc-design-client.config: F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\configure\mc-design-client.config
[2026-06-08 15:02:38.023] 警告 | SettingConfig.Load: mc-design-client.config not found; using local defaults: F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\configure\mc-design-client.config
[2026-06-08 15:02:38.025] 信息 | Program.InitializeComponents: HTTP service object created: 127.0.0.1:8088, Base_Path=/api
[2026-06-08 15:02:38.027] 信息 | Program.SafeStep: Initialize components: done.
[2026-06-08 15:02:38.028] 信息 | Program.SafeStep: Start local HTTP service: start.
[2026-06-08 15:02:38.093] 信息 | HttpServer.Start: Loopback NX tool server started on 127.0.0.1:8088
[2026-06-08 15:02:38.099] 信息 | Program.SafeStep: Start local HTTP service: done.
[2026-06-08 15:02:38.100] 信息 | Program.SafeStep: Check user-side Python client: start.
[2026-06-08 15:02:39.478] 警告 | Program.Probe: User-side Python client is not running. Start it manually with start-client.bat before using the agent.
[2026-06-08 15:02:39.479] 信息 | Program.SafeStep: Check user-side Python client: done.
[2026-06-08 15:02:39.479] 信息 | Program..ctor: NXServer constructor finished. LogFile=F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\log\log.txt
[2026-06-08 15:02:39.480] 信息 | Program.Startup: NXServer.Startup finished.
[2026-06-08 15:02:45.299] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:02:48.639] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:02:51.512] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:02:54.221] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: fs_exists - 缺少必要参数: path
[2026-06-08 15:02:59.848] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: fs_exists - 缺少必要参数: path
[2026-06-08 15:04:51.551] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenTCPart - 缺少必要参数: itemID
[2026-06-08 15:04:54.819] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: CreateNewPart - 缺少必要参数: folder_path
